treatment,round_of_ten,Rounds,role,tax,q,variable,net_of_tax
tax,4,Rounds 1-10,seller,10,14,13,23
tax,4,Rounds 1-10,seller,10,14,40,50
tax,4,Rounds 11-20,buyer,10,0,40,40
tax,4,Rounds 11-20,buyer,10,1,28,28
tax,4,Rounds 11-20,buyer,10,2,26,26
tax,4,Rounds 11-20,buyer,10,3,24,24
tax,4,Rounds 11-20,buyer,10,4,22,22
tax,4,Rounds 11-20,buyer,10,5,20,20
tax,4,Rounds 11-20,buyer,10,7,18,18
tax,4,Rounds 11-20,buyer,10,8,16,16
tax,4,Rounds 11-20,buyer,10,9,14,14
tax,4,Rounds 11-20,buyer,10,11,10,10
tax,4,Rounds 11-20,buyer,10,11,0,0
tax,4,Rounds 11-20,seller,10,0,0,10
tax,4,Rounds 11-20,seller,10,2,3,13
tax,4,Rounds 11-20,seller,10,4,5,15
tax,4,Rounds 11-20,seller,10,9,7,17
tax,4,Rounds 11-20,seller,10,11,9,19
tax,4,Rounds 11-20,seller,10,14,11,21
tax,4,Rounds 11-20,seller,10,17,15,25
tax,4,Rounds 11-20,seller,10,19,17,27
tax,4,Rounds 11-20,seller,10,20,19,29
tax,4,Rounds 11-20,seller,10,20,40,50
tax,5,Rounds 1-10,buyer,10,0,40,40
tax,5,Rounds 1-10,buyer,10,2,28,28
tax,5,Rounds 1-10,buyer,10,3,26,26
tax,5,Rounds 1-10,buyer,10,4,22,22
tax,5,Rounds 1-10,buyer,10,6,20,20
tax,5,Rounds 1-10,buyer,10,7,18,18
tax,5,Rounds 1-10,buyer,10,11,16,16
tax,5,Rounds 1-10,buyer,10,13,12,12
tax,5,Rounds 1-10,buyer,10,15,10,10
tax,5,Rounds 1-10,buyer,10,15,0,0
tax,5,Rounds 1-10,seller,10,0,0,10
tax,5,Rounds 1-10,seller,10,1,1,11
tax,5,Rounds 1-10,seller,10,3,3,13
tax,5,Rounds 1-10,seller,10,5,5,15
tax,5,Rounds 1-10,seller,10,7,7,17
tax,5,Rounds 1-10,seller,10,9,9,19
tax,5,Rounds 1-10,seller,10,11,11,21
tax,5,Rounds 1-10,seller,10,14,13,23
tax,5,Rounds 1-10,seller,10,14,40,50
tax,5,Rounds 11-20,buyer,10,0,40,40
tax,5,Rounds 11-20,buyer,10,1,28,28
tax,5,Rounds 11-20,buyer,10,2,26,26
tax,5,Rounds 11-20,buyer,10,3,24,24
tax,5,Rounds 11-20,buyer,10,4,22,22
tax,5,Rounds 11-20,buyer,10,5,20,20
tax,5,Rounds 11-20,buyer,10,7,18,18
tax,5,Rounds 11-20,buyer,10,8,16,16
tax,5,Rounds 11-20,buyer,10,9,14,14
tax,5,Rounds 11-20,buyer,10,11,10,10
tax,5,Rounds 11-20,buyer,10,11,0,0
tax,5,Rounds 11-20,seller,10,0,0,10
tax,5,Rounds 11-20,seller,10,2,3,13
tax,5,Rounds 11-20,seller,10,4,5,15
tax,5,Rounds 11-20,seller,10,9,7,17
tax,5,Rounds 11-20,seller,10,11,9,19
tax,5,Rounds 11-20,seller,10,14,11,21
tax,5,Rounds 11-20,seller,10,17,15,25
tax,5,Rounds 11-20,seller,10,19,17,27
tax,5,Rounds 11-20,seller,10,20,19,29
tax,5,Rounds 11-20,seller,10,20,40,50
tax,6,Rounds 1-10,buyer,10,0,40,40
tax,6,Rounds 1-10,buyer,10,2,28,28
tax,6,Rounds 1-10,buyer,10,3,26,26
tax,6,Rounds 1-10,buyer,10,4,22,22
tax,6,Rounds 1-10,buyer,10,6,20,20
tax,6,Rounds 1-10,buyer,10,7,18,18
tax,6,Rounds 1-10,buyer,10,11,16,16
tax,6,Rounds 1-10,buyer,10,13,12,12
tax,6,Rounds 1-10,buyer,10,15,10,10
tax,6,Rounds 1-10,buyer,10,15,0,0
tax,6,Rounds 1-10,seller,10,0,0,10
tax,6,Rounds 1-10,seller,10,1,1,11
tax,6,Rounds 1-10,seller,10,2,3,13
tax,6,Rounds 1-10,seller,10,4,5,15
tax,6,Rounds 1-10,seller,10,6,7,17
tax,6,Rounds 1-10,seller,10,8,9,19
tax,6,Rounds 1-10,seller,10,10,11,21
tax,6,Rounds 1-10,seller,10,13,13,23
tax,6,Rounds 1-10,seller,10,13,40,50
tax,6,Rounds 11-20,buyer,10,0,40,40
tax,6,Rounds 11-20,buyer,10,1,28,28
tax,6,Rounds 11-20,buyer,10,2,26,26
tax,6,Rounds 11-20,buyer,10,3,24,24
tax,6,Rounds 11-20,buyer,10,4,22,22
tax,6,Rounds 11-20,buyer,10,5,20,20
tax,6,Rounds 11-20,buyer,10,7,18,18
tax,6,Rounds 11-20,buyer,10,8,16,16
tax,6,Rounds 11-20,buyer,10,9,14,14
tax,6,Rounds 11-20,buyer,10,11,10,10
tax,6,Rounds 11-20,buyer,10,11,0,0
tax,6,Rounds 11-20,seller,10,0,0,10
tax,6,Rounds 11-20,seller,10,2,3,13
tax,6,Rounds 11-20,seller,10,4,5,15
tax,6,Rounds 11-20,seller,10,9,7,17
tax,6,Rounds 11-20,seller,10,11,9,19
tax,6,Rounds 11-20,seller,10,14,11,21
tax,6,Rounds 11-20,seller,10,17,15,25
tax,6,Rounds 11-20,seller,10,19,17,27
tax,6,Rounds 11-20,seller,10,20,19,29
tax,6,Rounds 11-20,seller,10,20,40,50
tax,7,Rounds 1-10,buyer,10,0,40,40
tax,7,Rounds 1-10,buyer,10,2,28,28
tax,7,Rounds 1-10,buyer,10,3,26,26
tax,7,Rounds 1-10,buyer,10,4,22,22
tax,7,Rounds 1-10,buyer,10,6,20,20
tax,7,Rounds 1-10,buyer,10,7,18,18
tax,7,Rounds 1-10,buyer,10,11,16,16
tax,7,Rounds 1-10,buyer,10,13,12,12
tax,7,Rounds 1-10,buyer,10,15,10,10
tax,7,Rounds 1-10,buyer,10,15,0,0
tax,7,Rounds 1-10,seller,10,0,0,10
tax,7,Rounds 1-10,seller,10,1,1,11
tax,7,Rounds 1-10,seller,10,2,3,13
tax,7,Rounds 1-10,seller,10,4,5,15
tax,7,Rounds 1-10,seller,10,6,7,17
tax,7,Rounds 1-10,seller,10,8,9,19
tax,7,Rounds 1-10,seller,10,10,11,21
tax,7,Rounds 1-10,seller,10,13,13,23
tax,7,Rounds 1-10,seller,10,13,40,50
tax,7,Rounds 11-20,buyer,10,0,40,40
tax,7,Rounds 11-20,buyer,10,1,28,28
tax,7,Rounds 11-20,buyer,10,2,26,26
tax,7,Rounds 11-20,buyer,10,3,24,24
tax,7,Rounds 11-20,buyer,10,4,22,22
tax,7,Rounds 11-20,buyer,10,5,20,20
tax,7,Rounds 11-20,buyer,10,7,18,18
tax,7,Rounds 11-20,buyer,10,8,16,16
tax,7,Rounds 11-20,buyer,10,9,14,14
tax,7,Rounds 11-20,buyer,10,11,10,10
tax,7,Rounds 11-20,buyer,10,11,0,0
tax,7,Rounds 11-20,seller,10,0,0,10
tax,7,Rounds 11-20,seller,10,2,3,13
tax,7,Rounds 11-20,seller,10,4,5,15
tax,7,Rounds 11-20,seller,10,9,7,17
tax,7,Rounds 11-20,seller,10,11,9,19
tax,7,Rounds 11-20,seller,10,14,11,21
tax,7,Rounds 11-20,seller,10,17,15,25
tax,7,Rounds 11-20,seller,10,19,17,27
tax,7,Rounds 11-20,seller,10,20,19,29
tax,7,Rounds 11-20,seller,10,20,40,50
tax,8,Rounds 1-10,buyer,10,0,40,40
tax,8,Rounds 1-10,buyer,10,2,28,28
tax,8,Rounds 1-10,buyer,10,3,26,26
tax,8,Rounds 1-10,buyer,10,4,22,22
tax,8,Rounds 1-10,buyer,10,6,20,20
tax,8,Rounds 1-10,buyer,10,7,18,18
tax,8,Rounds 1-10,buyer,10,11,16,16
tax,8,Rounds 1-10,buyer,10,13,12,12
tax,8,Rounds 1-10,buyer,10,15,10,10
tax,8,Rounds 1-10,buyer,10,15,0,0
tax,8,Rounds 1-10,seller,10,0,0,10
tax,8,Rounds 1-10,seller,10,1,1,11
tax,8,Rounds 1-10,seller,10,2,3,13
tax,8,Rounds 1-10,seller,10,4,5,15
tax,8,Rounds 1-10,seller,10,6,7,17
tax,8,Rounds 1-10,seller,10,8,9,19
tax,8,Rounds 1-10,seller,10,10,11,21
tax,8,Rounds 1-10,seller,10,13,13,23
tax,8,Rounds 1-10,seller,10,13,40,50
tax,8,Rounds 11-20,buyer,10,0,40,40
tax,8,Rounds 11-20,buyer,10,1,28,28
tax,8,Rounds 11-20,buyer,10,2,26,26
tax,8,Rounds 11-20,buyer,10,3,24,24
tax,8,Rounds 11-20,buyer,10,4,22,22
tax,8,Rounds 11-20,buyer,10,5,20,20
tax,8,Rounds 11-20,buyer,10,7,18,18
tax,8,Rounds 11-20,buyer,10,8,16,16
tax,8,Rounds 11-20,buyer,10,9,14,14
tax,8,Rounds 11-20,buyer,10,11,10,10
tax,8,Rounds 11-20,buyer,10,11,0,0
tax,8,Rounds 11-20,seller,10,0,0,10
tax,8,Rounds 11-20,seller,10,2,3,13
tax,8,Rounds 11-20,seller,10,4,5,15
tax,8,Rounds 11-20,seller,10,9,7,17
tax,8,Rounds 11-20,seller,10,11,9,19
tax,8,Rounds 11-20,seller,10,14,11,21
tax,8,Rounds 11-20,seller,10,17,15,25
tax,8,Rounds 11-20,seller,10,19,17,27
tax,8,Rounds 11-20,seller,10,20,19,29
tax,8,Rounds 11-20,seller,10,20,40,50
tax,9,Rounds 1-10,buyer,10,0,40,40
tax,9,Rounds 1-10,buyer,10,2,28,28
tax,9,Rounds 1-10,buyer,10,3,26,26
tax,9,Rounds 1-10,buyer,10,4,22,22
tax,9,Rounds 1-10,buyer,10,6,20,20
tax,9,Rounds 1-10,buyer,10,7,18,18
tax,9,Rounds 1-10,buyer,10,11,16,16
tax,9,Rounds 1-10,buyer,10,13,12,12
tax,9,Rounds 1-10,buyer,10,15,10,10
tax,9,Rounds 1-10,buyer,10,15,0,0
tax,9,Rounds 1-10,seller,10,0,0,10
tax,9,Rounds 1-10,seller,10,1,1,11
tax,9,Rounds 1-10,seller,10,2,3,13
tax,9,Rounds 1-10,seller,10,4,5,15
tax,9,Rounds 1-10,seller,10,6,7,17
tax,9,Rounds 1-10,seller,10,8,9,19
tax,9,Rounds 1-10,seller,10,10,11,21
tax,9,Rounds 1-10,seller,10,13,13,23
tax,9,Rounds 1-10,seller,10,13,40,50
tax,9,Rounds 11-20,buyer,10,0,40,40
tax,9,Rounds 11-20,buyer,10,1,28,28
tax,9,Rounds 11-20,buyer,10,2,26,26
tax,9,Rounds 11-20,buyer,10,3,24,24
tax,9,Rounds 11-20,buyer,10,4,22,22
tax,9,Rounds 11-20,buyer,10,5,20,20
tax,9,Rounds 11-20,buyer,10,7,18,18
tax,9,Rounds 11-20,buyer,10,8,16,16
tax,9,Rounds 11-20,buyer,10,9,14,14
tax,9,Rounds 11-20,buyer,10,11,10,10
tax,9,Rounds 11-20,buyer,10,11,0,0
tax,9,Rounds 11-20,seller,10,0,0,10
tax,9,Rounds 11-20,seller,10,2,3,13
tax,9,Rounds 11-20,seller,10,4,5,15
tax,9,Rounds 11-20,seller,10,9,7,17
tax,9,Rounds 11-20,seller,10,11,9,19
tax,9,Rounds 11-20,seller,10,14,11,21
tax,9,Rounds 11-20,seller,10,17,15,25
tax,9,Rounds 11-20,seller,10,19,17,27
tax,9,Rounds 11-20,seller,10,20,19,29
tax,9,Rounds 11-20,seller,10,20,40,50
tax,10,Rounds 1-10,buyer,10,0,40,40
tax,10,Rounds 1-10,buyer,10,2,28,28
tax,10,Rounds 1-10,buyer,10,3,26,26
tax,10,Rounds 1-10,buyer,10,4,22,22
tax,10,Rounds 1-10,buyer,10,6,20,20
tax,10,Rounds 1-10,buyer,10,7,18,18
tax,10,Rounds 1-10,buyer,10,11,16,16
tax,10,Rounds 1-10,buyer,10,13,12,12
tax,10,Rounds 1-10,buyer,10,15,10,10
tax,10,Rounds 1-10,buyer,10,15,0,0
tax,10,Rounds 1-10,seller,10,0,0,10
tax,10,Rounds 1-10,seller,10,1,1,11
tax,10,Rounds 1-10,seller,10,2,3,13
tax,10,Rounds 1-10,seller,10,4,5,15
tax,10,Rounds 1-10,seller,10,6,7,17
tax,10,Rounds 1-10,seller,10,8,9,19
tax,10,Rounds 1-10,seller,10,10,11,21
tax,10,Rounds 1-10,seller,10,13,13,23
tax,10,Rounds 1-10,seller,10,13,40,50
tax,10,Rounds 11-20,buyer,10,0,40,40
tax,10,Rounds 11-20,buyer,10,1,28,28
tax,10,Rounds 11-20,buyer,10,2,26,26
tax,10,Rounds 11-20,buyer,10,3,24,24
tax,10,Rounds 11-20,buyer,10,4,22,22
tax,10,Rounds 11-20,buyer,10,5,20,20
tax,10,Rounds 11-20,buyer,10,7,18,18
tax,10,Rounds 11-20,buyer,10,8,16,16
tax,10,Rounds 11-20,buyer,10,9,14,14
tax,10,Rounds 11-20,buyer,10,11,10,10
tax,10,Rounds 11-20,buyer,10,11,0,0
tax,10,Rounds 11-20,seller,10,0,0,10
tax,10,Rounds 11-20,seller,10,2,3,13
tax,10,Rounds 11-20,seller,10,4,5,15
tax,10,Rounds 11-20,seller,10,9,7,17
tax,10,Rounds 11-20,seller,10,11,9,19
tax,10,Rounds 11-20,seller,10,14,11,21
tax,10,Rounds 11-20,seller,10,17,15,25
tax,10,Rounds 11-20,seller,10,19,17,27
tax,10,Rounds 11-20,seller,10,20,19,29
tax,10,Rounds 11-20,seller,10,20,40,50
